Solution - Creation,ONLY used no-code solutions/prototype level code.,"Used programmatic approaches, but code was predominantly boilerplate","Programmatic level was in-line with V1 expectations, with a few qualitative additions (eg: error handling, logging)","Code writing was very advanced, using enterprise or ""beyond V1"" methods like OOP, agentic AI or deep futureproofing"
Solution - Implementation,"Solution was only implemented locally, or otherwise worked under special PoC circumstances.","Solution was live deployed, but little consideration given to the architecture design of services & resources used","Solution was demonstrably robust, using a conservative but sensible design.","Solution design clearly shows advanced considerations for at least some of the following: Flexibility, Cost, Security, Scalability, Agility, Novelty."
Solution - Effectiveness,"Solution is perhaps interesting, but unlikely to provide value.","Solution provides some provable value, but parts of design are accidentally useful as opposed to purposefully so.","Solution sees some clear benefits, with emphasis placed from the start on its potential.","Solution provides immediate value as-is, with clear room for further iterations."
Is it cost efficient?,Not at all,Somewhat - Tangential effect,Yes - Intentional design,
Is it techstack advanced?,Not at all,Somewhat - Tangential effect,Yes - Intentional design,
Is it scalable?,Not at all,Somewhat - Tangential effect,Yes - Intentional design,
Is there a clear next iteration?,Not at all,Somewhat - Tangential effect,Yes - Intentional design,
Does it practice responsible use of AI?,Not at all,Somewhat - Tangential effect,Yes - Intentional design,
Supporting files,"Are either very unclear in intended use, or aren't transparent with respect to the overall product.","Shed light on the overarching implementation, but some choices",Explain the overall process well.,
Report - Concise,Way too long/verbose OR missing a lot of important depth/detail,Well designed in terms of size and use of time,,
Report - Technical depth,Report doesn't touch on any of the technical elements.,The implementation logic is explained roughly (eg: using bullet points).,"The implementation logic is really well explained, eg: using diagrams/examples - AND architectural choices mentioned/motivated",
Report - Nontechnical explanations,Report doesn't touch on any of the non- technical elements.,Explained the process logic and what you chose to do.,"Explained the process logic, what you did and WHY you did it; including key indicators for further research & value-add.",
Report - Format & style,"The report format is either inappropriate, too simple or rough.",The format is acceptable to contain all the points required.,"Clear attention paid towards format, including a sense of branding/theme attached to it, and a professional look&feel.",
DEMO - Sellability,Your demo did not promote your solution well.,Your demo got the main points across.,"Your demo showed the ins & outs of the process, highlighting its potential.","Your demo was conference-level standards, making your solution stand out for its USP potential and a clear view for sellability."
DEMO - Detail,Your demo lacked sufficient detail of implementation/processing.,"Your demo went into the basic functionality, with 1-2 additions on how things can/should work.","Your demo covered multiple user journeys or perspectives; prioritising engagement for different types of viewers (eg: the ""10 seconds"" watchers and the in-depth full watch)",
"Overall VALUE ADD: Is this a feasible solution, with room to explore further. Would I invest in this?",No.,"Yes, with some caveats.",Asbolutely.,
